symbol,rank,sector,industry
MIXT,3,MiX Telematics Limited,Technology,Computer Software: Prepackaged Software
UL,5,Unilever PLC,Basic Industries,Package Goods/Cosmetics
UN,5,Unilever NV,Basic Industries,Package Goods/Cosmetics
UG,0,United-Guardian Inc.,Consumer Non-Durables,Package Goods/Cosmetics
QLYS,2,Qualys Inc.,Technology,Computer Software: Prepackaged Software
UA,3,Under Armour Inc.,Consumer Non-Durables,Apparel
GBSN,0,Great Basin Scientific Inc.,Health Care,Medical/Dental Instruments
IDT,0,IDT Corporation,Public Utilities,Telecommunications Equipment
IDN,0,Intellicheck Mobilisa Inc.,Technology,Computer Software: Prepackaged Software
IDI,0,Tiger Media Inc.,Consumer Services,Advertising
IDG,-1,ING Group N.V.,Finance,Life Insurance
IDE,-1,Voya Infrastructure Industrials and Materials Fund,n/a,n/a
TEDU,3,Tarena International Inc.,Consumer Services,Other Consumer Services
BGFV,3,Big 5 Sporting Goods Corporation,Consumer Services,Other Specialty Stores
IDA,3,IDACORP Inc.,Public Utilities,Electric Utilities: Central
PMT,3,PennyMac Mortgage Investment Trust,Consumer Services,Real Estate Investment Trusts
CGO,-1,Calamos Global Total Return Fund,n/a,n/a
CGA,0,China Green Agriculture Inc.,Basic Industries,Agricultural Chemicals
PMX,-1,PIMCO Municipal Income Fund III,n/a,n/a
CGG,3,CGG,Energy,Oil & Gas Production
PMD,0,Psychemedics Corporation,Health Care,Medical Specialities
PME,0,Pingtan Marine Enterprise Ltd.,n/a,n/a
PMF,-1,PIMCO Municipal Income Fund,n/a,n/a
PMC,3,Pharmerica Corporation,Health Care,Medical/Nursing Services
PML,-1,Pimco Municipal Income Fund II,n/a,n/a
PMM,0,Putnam Managed Municipal Income Trust,n/a,n/a
PMO,0,Putnam Municipal Opportunities Trust,n/a,n/a
LLTC,3,Linear Technology Corporation,Technology,Semiconductors
FEN,0,First Trust Energy Income and Growth Fund,n/a,n/a
FEO,-1,First Trust/Aberdeen Emerging Opportunity Fund,n/a,n/a
FEI,-1,First Trust MLP and Energy Income Fund,n/a,n/a
FET,5,Forum Energy Technologies Inc.,Energy,Metal Fabrications
FES,3,Forbes Energy Services Ltd,Energy,Oilfield Services/Equipment
HNSN,2,Hansen Medical Inc.,Health Care,Industrial Specialties
MAMS,3,MAM Software Group Inc.,Technology,Computer Software: Prepackaged Software
COLM,2,Columbia Sportswear Company,Consumer Non-Durables,Apparel
ARUN,1,Aruba Networks Inc.,Technology,Computer peripheral equipment
DRNA,3,Dicerna Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
DRE,3,Duke Realty Corporation,Consumer Services,Real Estate Investment Trusts
MSZ,-1,Morgan Stanley,Finance,Major Banks
NEWM,3,New Media Investment Group Inc.,Consumer Services,Newspapers/Magazines
MSP,-1,Madison Strategic Sector Premium Fund,n/a,n/a
MSO,3,Martha Stewart Living Omnimedia Inc.,Consumer Services,Newspapers/Magazines
MSN,0,Emerson Radio Corporation,Consumer Non-Durables,Consumer Electronics/Appliances
MSM,3,MSC Industrial Direct Company Inc.,Capital Goods,Industrial Machinery/Components
MSL,3,MidSouth Bancorp,Finance,Major Banks
MSK,-1,Morgan Stanley,n/a,n/a
MSJ,-1,Morgan Stanley,Finance,Investment Bankers/Brokers/Service
MSI,3,Motorola Solutions Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
NEWR,0,New Relic Inc.,n/a,n/a
NEWS,3,NewStar Financial Inc.,Finance,Finance: Consumer Services
NEWP,2,Newport Corporation,Capital Goods,Medical Specialities
MSD,0,Morgan Stanley Emerging Markets Debt Fund Inc.,n/a,n/a
MSB,0,Mesabi Trust,Basic Industries,Precious Metals
MSA,3,MSA Safety Incorporporated,Health Care,Industrial Specialties
AQQ,0,American Spectrum Realty Inc.,Consumer Services,Real Estate Investment Trusts
ORCL,3,Oracle Corporation,Technology,Computer Software: Prepackaged Software
YDKN,3,Yadkin Financial Corporation,Finance,Major Banks
JCOM,3,j2 Global Inc.,Technology,Telecommunications Equipment
COKE,0,Coca-Cola Bottling Co. Consolidated,Consumer Non-Durables,Beverages (Production/Distribution)
THFF,3,First Financial Corporation Indiana,Finance,Major Banks
FCCY,0,1st Constitution Bancorp (NJ),Finance,Savings Institutions
ABBV,2,AbbVie Inc.,Health Care,Major Pharmaceuticals
DWA,5,Dreamworks Animation SKG Inc.,Consumer Services,Movies/Entertainment
LFVN,0,Lifevantage Corporation,Health Care,Major Pharmaceuticals
EQIX,3,Equinix Inc.,Public Utilities,Telecommunications Equipment
VTHR,0,Vanguard Russell 3000 ETF,n/a,n/a
GTIV,3,Gentiva Health Services Inc.,Health Care,Medical/Nursing Services
GTIM,3,Good Times Restaurants Inc.,Consumer Services,Restaurants
NRCIA,3,National Research Corporation,Health Care,Biotechnology: Commercial Physical & Biological Resarch
NRCIB,3,National Research Corporation,Health Care,Biotechnology: Commercial Physical & Biological Resarch
KRA,4,Kraton Performance Polymers Inc,Basic Industries,Major Chemicals
KYO,4,Kyocera Corporation,Technology,Semiconductors
KYN,0,Kayne Anderson MLP Investment Company,n/a,n/a
VRTA,0,Vestin Realty Mortgage I Inc.,Consumer Services,Real Estate Investment Trusts
VRTB,0,Vestin Realty Mortgage II Inc.,Consumer Services,Real Estate Investment Trusts
KYE,-1,Kayne Anderson Energy Total Return Fund Inc.,n/a,n/a
PTNR,0,Partner Communications Company Ltd.,Public Utilities,Telecommunications Equipment
PTNT,0,Internet Patents Corporation,Miscellaneous,Business Services
GFED,3,Guaranty Federal Bancshares Inc.,Finance,Major Banks
VRTS,5,Virtus Investment Partners Inc.,Finance,Investment Managers
VRTU,2,Virtusa Corporation,Technology,EDP Services
VRTV,2,Veritiv Corporation,Consumer Services,Paper
ENDP,1,Endo International plc,Health Care,Major Pharmaceuticals
MEIL,0,METHES ENERGIES INTERNATIONAL LTD,Basic Industries,Major Chemicals
NYV,-1,Nuveen New York Municipal Value Fund 2,n/a,n/a
CBLI,0,Cleveland BioLabs Inc.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MOSY,3,MoSys Inc.,Technology,Semiconductors
MNKD,3,MannKind Corporation,Health Care,Major Pharmaceuticals
TRTL,-1,Terrapin 3 Acquisition Corporation,Finance,Business Services
BYM,-1,Blackrock Municipal Income Quality Trust,n/a,n/a
MEIP,2,MEI Pharma Inc.,Health Care,Major Pharmaceuticals
BYD,2,Boyd Gaming Corporation,Consumer Services,Hotels/Resorts
PRPH,0,ProPhase Labs Inc.,Health Care,Major Pharmaceuticals
JOEZ,3,Joe&#39;s Jeans Inc.,Consumer Non-Durables,Apparel
VLRS,2,Controladora Vuela Compania de Aviacion S.A.B. de C.V.,Transportation,Air Freight/Delivery Services
CRTO,2,Criteo S.A.,Technology,Advertising
CRTN,0,Cartesian Inc.,Consumer Services,Professional Services
AGX,0,Argan Inc.,Basic Industries,Engineering & Construction
ICUI,1,ICU Medical Inc.,Health Care,Medical/Dental Instruments
IDCC,1,InterDigital Inc.,Miscellaneous,Multi-Sector Companies
LNKD,2,LinkedIn Corporation,Technology,Computer Software: Programming Data Processing
IPWR,3,Ideal Power Inc.,Energy,Industrial Machinery/Components
TPUB,3,Tribune Publishing Company,Consumer Services,Newspapers/Magazines
CEVA,3,CEVA Inc.,Technology,Semiconductors
CPRX,3,Catalyst Pharmaceutical Partners Inc.,Health Care,Major Pharmaceuticals
BAC/WS/B,-1,Bank of America Corporation,n/a,n/a
CPRT,3,Copart Inc.,Consumer Durables,Automotive Aftermarket
WPCS,0,WPCS International Incorporated,Consumer Services,Telecommunications Equipment
VBF,0,Invesco Bond Fund,n/a,n/a
WEBK,-1,Wellesley Bancorp Inc.,Finance,Banks
ITUB,3,Itau Unibanco Banco Holding SA,Finance,Major Banks
WHF,3,WhiteHorse Finance Inc.,n/a,n/a
WHG,0,Westwood Holdings Group Inc,Finance,Investment Managers
UNH,2,UnitedHealth Group Incorporated,Health Care,Medical Specialities
WHR,3,Whirlpool Corporation,Consumer Durables,Consumer Electronics/Appliances
TASR,3,TASER International Inc.,Capital Goods,Ordnance And Accessories
TAST,3,Carrols Restaurant Group Inc.,Consumer Services,Restaurants
WHZ,3,Whiting USA Trust II,Energy,Oil & Gas Production
V,3,Visa Inc.,Miscellaneous,Business Services
EIA,-1,Eaton Vance California Municipal Bond Fund II,n/a,n/a
IMUC,3,ImmunoCellular Therapeutics Ltd.,Health Care,Major Pharmaceuticals
IRDMZ,-1,Iridium Communications Inc,Consumer Durables,Telecommunications Equipment
IRDMB,-1,Iridium Communications Inc,Consumer Durables,Telecommunications Equipment
GV,0,Goldfield Corporation (The),Basic Industries,Water Supply
PLBC,0,Plumas Bancorp,Finance,Finance Companies
SEMI,3,SunEdison Semiconductor Limited,Technology,Semiconductors
SEMG,3,Semgroup Corporation,Energy,Oilfield Services/Equipment
IRIX,0,IRIDEX Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
TKMR,2,Tekmira Pharmaceuticals Corp,Health Care,Major Pharmaceuticals
PTSI,0,P.A.M. Transportation Services Inc.,Transportation,Trucking Freight/Courier Services
UTSI,3,UTStarcom Holdings Corp,Consumer Durables,Telecommunications Equipment
KEYS,4,Keysight Technologies Inc.,Capital Goods,Industrial Machinery/Components
KEYW,5,The KEYW Holding Corporation,Technology,EDP Services
FAX,0,Aberdeen Asia-Pacific Income Fund Inc,n/a,n/a
NVGS,3,Navigator Holdings Ltd.,Transportation,Marine Transportation
ANTM,2,Anthem Inc.,n/a,n/a
NVGN,0,Novogen Limited,Health Care,Major Pharmaceuticals
ANTH,3,Anthera Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
BIND,3,BIND Therapeutics Inc.,Health Care,Major Pharmaceuticals
SRNE,1,Sorrento Therapeutics Inc.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
RUTH,2,Ruth&#39;s Hospitality Group Inc.,Consumer Services,Restaurants
FIZZ,0,National Beverage Corp.,Consumer Non-Durables,Beverages (Production/Distribution)
EMXX,0,Eurasian Minerals Inc.,Basic Industries,Precious Metals
VIMC,0,Vimicro International Corporation,Technology,Semiconductors
CVGI,3,Commercial Vehicle Group Inc.,Capital Goods,Auto Parts:O.E.M.
WCIC,3,WCI Communities Inc.,Capital Goods,Homebuilding
PRE,3,PartnerRe Ltd.,Finance,Accident &Health Insurance
ASTI,3,Ascent Solar Technologies Inc.,Technology,Semiconductors
ESXB,0,Community Bankers Trust Corporation.,Finance,Major Banks
PRA,3,ProAssurance Corporation,Finance,Property-Casualty Insurers
JOY,4,Joy Global Inc.,Energy,Industrial Machinery/Components
PRO,3,PROS Holdings Inc.,Technology,EDP Services
ASTC,0,Astrotech Corporation,Capital Goods,Military/Government/Technical
PRI,2,Primerica Inc.,Finance,Life Insurance
ASTE,4,Astec Industries Inc.,Capital Goods,Construction/Ag Equipment/Trucks
PRK,3,Park National Corporation,Finance,Major Banks
PRU,3,Prudential Financial Inc.,Finance,Life Insurance
JOB,3,General Employment Enterprises Inc.,Technology,Diversified Commercial Services
MBRG,3,Middleburg Financial Corporation,Finance,Major Banks
JOE,3,St. Joe Company (The),Consumer Services,Homebuilding
JOF,0,Japan Smaller Capitalization Fund Inc,n/a,n/a
RELL,0,Richardson Electronics Ltd.,Consumer Non-Durables,Electronic Components
FCZAP,-1,First Citizens Banc Corp.,Finance,Major Banks
PRY,-1,Prospect Capital Corporation,n/a,n/a
INXN,4,InterXion Holding N.V.,Technology,Computer Software: Programming Data Processing
TFSCR,-1,1347 Capital Corp.,Finance,Business Services
ROCK,3,Gibraltar Industries Inc.,Capital Goods,Steel/Iron Ore
ATK,4,Alliant Techsystems Inc.,Capital Goods,Military/Government/Technical
SNE,3,Sony Corp Ord,Consumer Non-Durables,Consumer Electronics/Appliances
SNC,3,State National Companies Inc.,Finance,Property-Casualty Insurers
AMRN,3,Amarin Corporation PLC,Health Care,Major Pharmaceuticals
SNAK,4,Inventure Foods Inc.,Consumer Non-Durables,Packaged Foods
BWINA,0,Baldwin & Lyons Inc.,Finance,Property-Casualty Insurers
AMRI,0,Albany Molecular Research Inc.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
AMRK,0,A-Mark Precious Metals Inc.,Basic Industries,Other Specialty Stores
AMRE,3,AmREIT Inc.,Consumer Services,Real Estate Investment Trusts
AMCX,3,AMC Networks Inc.,Consumer Services,Television Services
BRKL,3,Brookline Bancorp Inc.,Finance,Savings Institutions
AMRB,3,American River Bankshares,Finance,Major Banks
AMRC,2,Ameresco Inc.,Basic Industries,Engineering & Construction
BRKS,3,Brooks Automation Inc.,Technology,Industrial Machinery/Components
BRKR,4,Bruker Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments
SUPN,5,Supernus Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
MTRX,3,Matrix Service Company,Basic Industries,Engineering & Construction
AMRS,3,Amyris Inc.,Basic Industries,Major Chemicals
ISL,0,Aberdeen Israel Fund Inc.,n/a,n/a
SNH,3,Senior Housing Properties Trust,Consumer Services,Real Estate Investment Trusts
TKF,0,Turkish Investment Fund Inc. (The),n/a,n/a
MAA,3,Mid-America Apartment Communities Inc.,Consumer Services,Real Estate Investment Trusts
NLS,1,Nautilus Group Inc. (The),Consumer Non-Durables,Recreational Products/Toys
AVGO,1,Avago Technologies Limited,Technology,Semiconductors
HMY,0,Harmony Gold Mining Company Limited,Basic Industries,Precious Metals
NLY,3,Annaly Capital Management Inc,Consumer Services,Real Estate Investment Trusts
MYCC,3,ClubCorp Holdings Inc.,Consumer Services,Hotels/Resorts
DEST,0,Destination Maternity Corporation,Consumer Services,Clothing/Shoe/Accessory Stores
HMN,3,Horace Mann Educators Corporation,Finance,Property-Casualty Insurers
MAB,-1,Eaton Vance Massachusetts Municipal Bond Fund,n/a,n/a
TKR,2,Timken Company (The),Capital Goods,Metal Fabrications
LPLA,3,LPL Financial Holdings Inc.,Finance,Investment Bankers/Brokers/Service
HME,3,Home Properties Inc.,Consumer Services,Real Estate Investment Trusts
HMG,0,HMG/Courtland Properties Inc.,Consumer Services,Real Estate Investment Trusts
HMC,3,Honda Motor Company Ltd.,Capital Goods,Auto Manufacturing
DLB,3,Dolby Laboratories,Technology,Radio And Television Broadcasting And Communications Equipment
DLA,0,Delta Apparel Inc.,Consumer Non-Durables,Apparel
SNP,5,China Petroleum & Chemical Corporation,Energy,Integrated oil Companies
GSV,3,Gold Standard Ventures Corporation,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CRESY,3,Cresud S.A.C.I.F. y A.,Finance,Real Estate
HWAY,3,Healthways Inc.,Health Care,Hospital/Nursing Management
DLX,3,Deluxe Corporation,Consumer Durables,Publishing
CRESW,-1,Cresud S.A.C.I.F. y A.,Finance,Real Estate
SSY,0,SunLink Health Systems Inc.,Health Care,Hospital/Nursing Management
SSW,3,Seaspan Corporation,Transportation,Marine Transportation
SAAS,4,inContact Inc.,Technology,Computer Software: Prepackaged Software
SSP,3,E.W. Scripps Company (The),Consumer Services,Newspapers/Magazines
SSS,2,Sovran Self Storage Inc.,Consumer Services,Real Estate Investment Trusts
SSL,0,Sasol Ltd.,Energy,Oil & Gas Production
SSN,0,Samson Oil & Gas Limited,Energy,Oil & Gas Production
SSI,1,Stage Stores Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
SSH,3,Sunshine Heart Inc,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LARK,0,Landmark Bancorp Inc.,Finance,Major Banks
SSD,3,Simpson Manufacturing Company Inc.,Capital Goods,Industrial Machinery/Components
SNY,4,Sanofi,Health Care,Major Pharmaceuticals
TBRA,-1,Tobira Therapeutics Inc.,n/a,n/a
SSB,3,South State Corporation,Finance,Major Banks
MFNC,0,Mackinac Financial Corporation,Finance,Major Banks
TCPI,3,TCP International Holdings Ltd.,Consumer Durables,Building Products
EVJ,0,Eaton Vance New Jersey Municipal Income Trust,n/a,n/a
EVK,0,Ever-Glory International Group Inc.,Consumer Non-Durables,Apparel
WSM,2,Williams-Sonoma Inc.,Consumer Services,Home Furnishings
ECF,0,Ellsworth Convertible Growth and Income Fund Inc.,n/a,n/a
RMP,3,Rice Midstream Partners LP,n/a,n/a
ECC,3,Eagle Point Credit Company Inc.,n/a,n/a
ECA,5,Encana Corporation,Energy,Oil & Gas Production
RDS/B,-1,Royal Dutch Shell PLC,n/a,n/a
LNT,3,Alliant Energy Corporation,Public Utilities,Power Generation
SMACR,-1,Sino Mercury Acquisition Corp.,Finance,Business Services
SMACU,-1,Sino Mercury Acquisition Corp.,Finance,Business Services
ALQA,3,Alliqua Inc.,Health Care,Medical/Dental Instruments
BWL/A,-1,Bowl America Inc.,Consumer Services,Services-Misc. Amusement & Recreation
LNN,3,Lindsay Corporation,Capital Goods,Industrial Machinery/Components
EXPO,3,Exponent Inc.,Consumer Services,Professional Services
ECR,3,Eclipse Resources Corporation,Energy,Oil & Gas Production
RMD,2,ResMed Inc.,Health Care,Medical/Dental Instruments
LND,0,Brasilagro Cia Brasileira De Propriedades Agricolas,Consumer Non-Durables,Farming/Seeds/Milling
LNG,3,Cheniere Energy Inc.,Public Utilities,Oil/Gas Transmission
EXPE,1,Expedia Inc.,Consumer Services,Transportation Services
EXPD,3,Expeditors International of Washington Inc.,Transportation,Oil Refining/Marketing
BBN,-1,BalckRock Build America Bond Trust,n/a,n/a
BBL,5,BHP Billiton plc,Energy,Coal Mining
BBK,-1,Blackrock Municipal Bond Trust,n/a,n/a
BBG,3,Bill Barrett Corporation,Energy,Oil & Gas Production
BBF,-1,BlackRock Municipal Income Investment Trust,n/a,n/a
GSVC,0,GSV Capital Corp,n/a,n/a
BBC,0,BioShares Biotechnology Clinical Trials Fund,n/a,n/a
TRIB,3,Trinity Biotech plc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BBY,3,Best Buy Co. Inc.,Consumer Services,Consumer Electronics/Video Chains
BBX,0,BBX Capital Corporation,Finance,Savings Institutions
BBW,1,Build-A-Bear Workshop Inc.,Consumer Services,Recreational Products/Toys
TRIV,3,TriVascular Technologies Inc.,Health Care,Medical/Dental Instruments
TRIP,4,TripAdvisor Inc.,Technology,Computer Software: Programming Data Processing
BBP,0,BioShares Biotechnology Products Fund,n/a,n/a
TPLM,3,Triangle Petroleum Corporation,Energy,Oil & Gas Production
VSLR,3,Vivint Solar Inc.,Capital Goods,Building Products
FRA,-1,Blackrock Floating Rate Income Strategies Fund Inc,n/a,n/a
NBIX,3,Neurocrine Biosciences Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NKSH,0,National Bankshares Inc.,Finance,Major Banks
CYS,1,CYS Investments Inc.,Consumer Services,Real Estate Investment Trusts
CYT,3,Cytec Industries Inc.,Basic Industries,Major Chemicals
POT,3,Potash Corporation of Saskatchewan Inc.,Basic Industries,Agricultural Chemicals
MRKT,3,Markit Ltd.,Finance,Investment Bankers/Brokers/Service
POL,3,PolyOne Corporation,Basic Industries,Major Chemicals
POM,3,PEPCO Holdings Inc.,Public Utilities,Power Generation
CYD,0,China Yuchai International Limited,Energy,Industrial Machinery/Components
CYH,2,Community Health Systems Inc.,Health Care,Hospital/Nursing Management
CYN,3,City National Corporation,Finance,Major Banks
SMED,3,Sharps Compliance Corp,Basic Industries,Environmental Services
TSEM,3,Tower Semiconductor Ltd.,Technology,Semiconductors
FWRD,3,Forward Air Corporation,Transportation,Oil Refining/Marketing
CFRX,3,ContraFect Corporation,Health Care,Major Pharmaceuticals
KIRK,2,Kirkland&#39;s Inc.,Consumer Services,Other Specialty Stores
CHEV,0,Cheviot Financial Corp,Finance,Savings Institutions
NPBC,3,National Penn Bancshares Inc.,Finance,Major Banks
HIFS,0,Hingham Institution for Savings,n/a,n/a
DGRW,0,WisdomTree U.S. Dividend Growth Fund,n/a,n/a
DGRS,3,WisdomTree U.S. SmallCap Dividend Growth Fund,n/a,n/a
